sim_index,tau,gamma,rho,R0,near_threshold,peak_I,peak_time,final_R
3612,0.02126226,0.40576491,0.00763999,1.7816,0,5775.2815,9.04,32781.0
2930,0.00076968,0.34753995,0.00656675,0.0753,0,657.0,0.0,683.0
2543,0.0104999,0.20847672,0.00301519,1.7124,0,4881.0877,20.08,29968.0
866,0.01953751,0.33532175,0.0023282,1.981,0,7224.7428,12.05,38520.0
242,0.00089591,0.07930758,0.00135834,0.3841,0,136.0,0.0,218.0
498,0.00680433,0.08762834,0.00814175,2.6401,0,13015.114,31.12,55186.0
2795,0.00711759,0.38340847,0.00830745,0.6312,0,831.0,0.0,2583.0
231,0.00186193,0.29372749,0.00569134,0.2155,0,569.0,0.0,670.0
2233,0.02159938,0.46581272,0.00673509,1.5766,0,4363.998,8.03,26600.0
3800,0.00507989,0.22196699,0.00287053,0.7781,0,304.5893,47.19,3570.0
3439,0.0101539,0.34669721,0.00381423,0.9958,1,815.9338,24.1,8623.0
1779,0.01196632,0.34659323,0.00548885,1.1739,1,2201.9287,11.04,15037.0
3769,0.00378827,0.29284957,0.00206245,0.4398,0,206.0,0.0,392.0
3385,0.01051664,0.48358049,0.00859057,0.7394,0,859.0,0.0,4695.0
343,0.01846722,0.47271057,0.00976459,1.3283,0,3241.3391,7.03,20769.0
500,0.00887243,0.19161913,0.00490064,1.5743,0,4076.542,21.08,26133.0
863,0.00100452,0.27075769,0.00610516,0.1261,0,611.0,0.0,663.0
181,0.0160924,0.43163178,0.008717,1.2676,0,2418.6815,9.04,17590.0
1220,0.00580944,0.22809553,0.00829463,0.866,1,837.2118,13.05,7284.0
2690,0.00276793,0.4368727,0.00344247,0.2154,0,344.0,0.0,418.0
1283,0.01525373,0.35238675,0.00463874,1.4718,0,3487.2553,13.05,23700.0
614,0.01376281,0.36544864,0.00229736,1.2804,0,2399.6461,16.06,18670.0
3023,0.02113316,0.25864938,0.00409109,2.778,0,14124.1091,11.04,57310.0
3272,0.02199263,0.49981781,0.00481397,1.496,0,3837.2633,8.03,25102.0
1639,0.01121934,0.19284508,0.00517876,1.9781,0,7138.7275,19.08,38560.0
1025,0.00844139,0.22036031,0.00571884,1.3024,0,2389.6673,19.08,18155.0
3850,0.0127334,0.4136768,0.00341447,1.0466,1,1108.2647,14.06,10472.0
3542,0.01522173,0.27124984,0.00954653,1.908,0,6933.5923,12.05,38098.0
492,0.01013264,0.20324992,0.00864516,1.695,0,5336.6229,18.07,31665.0
617,0.00917264,0.4859184,0.00571929,0.6418,0,572.0,0.0,2196.0
768,0.00090927,0.17991023,0.00512982,0.1718,0,513.0,0.0,590.0
3047,0.01018561,0.34873615,0.00584815,0.993,1,1104.087,12.05,9622.0
303,0.00823182,0.37762294,0.00113064,0.7412,0,156.8339,37.15,2526.0
