sim_index,tau,gamma,rho,R0,near_threshold,peak_I,peak_time,final_R
3196,0.00986343,0.95013429,0.00038933,0.353,0,39.0,0.0,47.0
3895,0.00332387,0.2119328,0.00880368,0.5332,0,880.0,0.0,1971.0
3267,0.01536624,0.21152484,0.00862453,2.4699,0,11562.3042,14.06,51920.0
2071,0.00281681,0.26660156,0.00036463,0.3592,0,36.0,0.0,54.0
2633,0.01644388,0.79594559,0.00251318,0.7024,0,251.0,0.0,1077.0
1867,0.00371586,0.30798745,0.00080086,0.4102,0,80.0,0.0,109.0
2282,0.00201913,0.24683791,0.00890185,0.2781,0,890.0,0.0,1127.0
3714,0.00645704,0.96486607,0.0096316,0.2275,0,963.0,0.0,1172.0
449,0.01975419,0.3615992,0.00167476,1.8574,0,5678.0028,13.05,34092.0
203,0.00561925,0.5865064,0.0053099,0.3258,0,531.0,0.0,752.0
572,0.01642402,0.73088886,0.00018599,0.764,0,19.0,0.0,83.0
2490,0.00804238,0.29465887,0.0047443,0.928,1,1101.3051,14.06,7992.0
2002,0.01829975,0.71512548,0.00381601,0.87,1,582.0641,8.03,5846.0
734,0.00166764,0.98300402,0.0065271,0.0577,0,653.0,0.0,678.0
2327,0.01204219,0.78663398,0.00723623,0.5205,0,724.0,0.0,1646.0
2582,0.00578944,0.8567019,0.00471837,0.2298,0,472.0,0.0,572.0
3175,0.00318889,0.57454208,0.00939728,0.1887,0,940.0,0.0,1160.0
2610,0.00274933,0.34431363,0.00273313,0.2715,0,273.0,0.0,371.0
513,0.01508392,0.85542473,0.0017814,0.5995,0,178.0,0.0,1225.0
834,0.00314243,0.30243546,0.00712368,0.3533,0,712.0,0.0,1049.0
2503,0.00257712,0.95922066,0.00563974,0.0913,0,564.0,0.0,598.0
208,0.00404027,0.95496833,0.0031955,0.1438,0,320.0,0.0,359.0
1675,0.01887143,0.67399538,0.0032027,0.952,1,618.5092,8.03,6886.0
3128,0.00053834,0.626214,0.00785686,0.0292,0,786.0,0.0,800.0
234,0.01369955,0.58871264,0.00824321,0.7912,0,824.0,0.0,5975.0
2589,0.01387395,0.5921397,0.00945606,0.7966,0,946.0,0.0,5645.0
2180,0.01610937,0.9418027,0.00420584,0.5816,0,421.0,0.0,1319.0
3946,0.01509738,0.93519804,0.00273151,0.5489,0,273.0,0.0,936.0
2054,0.00160504,0.63082395,0.00331135,0.0865,0,331.0,0.0,349.0
1840,0.00407375,0.19416336,0.00319823,0.7134,0,320.0,0.0,3224.0
1918,0.01650361,0.44679766,0.00383019,1.2559,0,2315.3362,13.05,17094.0
3285,0.01587086,0.94890439,0.00499172,0.5687,0,499.0,0.0,1448.0
337,0.01321653,0.45243852,0.00707248,0.9932,1,1323.1828,12.05,10196.0
288,0.00331559,0.93483954,0.00935091,0.1206,0,935.0,0.0,1006.0
3273,0.0185794,0.54576525,0.00877579,1.1575,1,1907.0722,7.03,14431.0
2475,0.01616207,0.44197637,0.00233745,1.2433,0,1996.3134,10.04,16100.0
3791,0.0141601,0.38418251,0.00901643,1.2532,0,2283.9267,9.04,15666.0
